id,name,birthDate,nationality,labelID
artist_54,Jonathan Davis,1991-07-02,Isle of Man,
artist_55,Jeff Wheeler,2006-09-13,Switzerland,label_13
artist_56,Melissa Rice,1995-10-07,Montenegro,
artist_57,Lindsay Bentley,1995-12-04,Isle of Man,label_7
artist_58,Brenda Kim,2004-04-08,Cyprus,label_17
artist_59,Julie Jackson,1992-06-28,Indonesia,label_23
artist_60,Michael Maldonado,1985-09-21,Czech Republic,label_4
artist_61,William Mitchell,1963-04-06,Slovenia,label_1
artist_62,Brian Love,1967-01-27,Slovenia,label_6
artist_63,Kelly Henry,1967-01-16,Marshall Islands,label_10
artist_64,Benjamin Schmidt,1995-04-20,Mayotte,
artist_65,Johnathan Rice,1977-03-24,Slovakia (Slovak Republic),
artist_66,Jennifer Day,1964-09-09,Macao,label_3
artist_67,Jeffery Little,1960-05-30,Bhutan,
artist_68,Laura Hill,1958-11-18,Australia,label_10
artist_69,Diana Clark,1980-04-22,Trinidad and Tobago,
artist_70,Alexis Garcia,1963-08-07,French Southern Territories,label_22
artist_71,Barbara Barker,2007-01-25,Samoa,
artist_72,Christina Carson,1977-08-20,Azerbaijan,label_11
artist_73,Caleb Everett,1999-09-11,United Kingdom,
artist_74,Mary Carroll,1968-11-05,Kyrgyz Republic,
artist_75,Marc Thomas,1963-08-13,Latvia,
artist_76,Theresa Scott,1970-01-03,Burkina Faso,label_21
artist_77,Rachael Brady,2004-10-25,Cook Islands,label_14
artist_78,Ryan Mata,1958-05-22,Nigeria,label_20
artist_79,Todd Fox,1975-11-15,Cameroon,label_12
artist_80,Melissa Carey,1978-02-04,Singapore,
artist_81,Alicia Vargas,1963-08-06,Chad,
artist_82,Matthew Johnson,1987-02-17,Thailand,
artist_83,Catherine Le,1972-06-03,Syrian Arab Republic,
artist_84,Steven Romero,1981-07-20,Uruguay,
artist_85,Joshua Nichols,1963-04-08,Monaco,label_22
artist_86,Karen Gonzalez,1982-05-31,Italy,
artist_87,Carl Phillips,1968-09-06,Saint Kitts and Nevis,
artist_88,Lauren Campbell,1962-05-17,Saint Vincent and the Grenadines,label_15
artist_89,Tanya Gutierrez,1986-12-05,Chad,
artist_90,Mary Price,1974-06-09,Lithuania,
artist_91,Megan Johnson,1991-09-10,Thailand,
artist_92,Marc Walton,1979-09-06,South Africa,
artist_93,Paula Olson,1981-12-08,Antigua and Barbuda,
artist_94,Jose Lang,1976-04-17,Seychelles,
artist_95,Dr. Michelle Guzman,2002-10-25,Gabon,label_2
artist_96,Brett Jimenez,1995-03-03,Korea,label_0
artist_97,Jeffrey Horne,1954-06-25,Kuwait,
artist_98,Sara Smith,1967-11-27,Haiti,
artist_99,Kathleen Merritt,1969-10-04,Cuba,label_8
